path,source_root,size_bytes,size_mb,decision_class,decision_reason
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/profiles_parsed.json,pipeline_source,19256926,19.26,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/profiles_parsed.json,shared_data_source,19160359,19.16,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/LLM batches 4/batch_input_abstract_classification.jsonl,shared_data_source,18285017,18.29,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/seleniumbase/drivers/uc_driver,pipeline_source,17630768,17.63,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/seleniumbase/drivers/uc_driver,pipeline_source,17594196,17.59,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/mapbox-gl-dev.js,app_source,17409168,17.41,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/seleniumbase/drivers/chromedriver,pipeline_source,15947952,15.95,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/seleniumbase/drivers/chromedriver,pipeline_source,15947664,15.95,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/LLM batches 1/researcher_packets.jsonl,shared_data_source,15876628,15.88,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n224.json,shared_data_source,13987281,13.99,C,large runtime artifact; keep on persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/LLM batches 4/batch_tracking/batch_outputs/batch_output_triss_abstract_classification_batch_6978a2f1e03c819098f4a0ab84e809d6.jsonl,shared_data_source,13314776,13.31,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/3. Final/2. All listed publications.csv,pipeline_source,12909682,12.91,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/0.all_listed_pubs_fully_enriched.csv,pipeline_source,12860627,12.86,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/texture-compressor/bin/linux/crunch,app_source,11816656,11.82,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/old/profiles_publications_crossref_cleaned_merged.csv,shared_data_source,11584425,11.58,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/profiles_publications_crossref_cleaned_merged_n_id_fixed.csv,shared_data_source,11557341,11.56,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/profiles_publications_crossref_cleaned_merged.csv,shared_data_source,11554100,11.55,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/_test/openai/test_openai_n236.json,shared_data_source,10452761,10.45,C,large runtime artifact; keep on persistent disk
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/.bin/esbuild,app_source,10385170,10.39,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@esbuild/darwin-arm64/bin/esbuild,app_source,10385170,10.39,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/esbuild/bin/esbuild,app_source,10385170,10.39,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n219.json,shared_data_source,9991031,9.99,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/3. Final/4.All measured publications.csv.bak_abstract_mojibake_fix,pipeline_source,9966516,9.97,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/3. Final/4.All measured publications.csv.bak_mojibake_fix,pipeline_source,9963048,9.96,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/3. Final/4.All measured publications.csv.bak_abstract_mojibake_fix_pass2,pipeline_source,9936189,9.94,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/3. Final/4.All measured publications.csv,pipeline_source,9930833,9.93,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/0.all_listed_pubs.csv,pipeline_source,9856775,9.86,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/lxml/etree.cpython-313-darwin.so,pipeline_source,9832600,9.83,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/lxml/etree.cpython-313-darwin.so,pipeline_source,9832600,9.83,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/0.all_listed_pubs_enriched.csv,pipeline_source,9688393,9.69,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/profiles_publications_final.csv,pipeline_source,9642151,9.64,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/mapbox-gl-unminified.js.map,app_source,9568143,9.57,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/old/profiles_publications_crossref.csv,shared_data_source,9335630,9.34,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_final_v2.csv,pipeline_source,9196323,9.2,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/typescript/lib/typescript.js,app_source,9112572,9.11,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/mapbox-gl.js.map,app_source,8979546,8.98,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/profiles_publications_final.bak,pipeline_source,8762142,8.76,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_final_v3.csv,pipeline_source,8762142,8.76,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n239.json,shared_data_source,8405937,8.41,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/0c.all_listed_publications_filter.csv,pipeline_source,8281568,8.28,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/tokenizers/tokenizers.abi3.so,app_source,8261072,8.26,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/tokenizers/tokenizers.abi3.so,pipeline_source,8261072,8.26,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/tokenizers/tokenizers.abi3.so,pipeline_source,8261072,8.26,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/2f.all_listed_publications_2019_journal_like_with_abstract.csv,pipeline_source,8193144,8.19,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/selenium/webdriver/common/macos/selenium-manager,pipeline_source,8160544,8.16,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/selenium/webdriver/common/macos/selenium-manager,pipeline_source,8160544,8.16,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n38.json,shared_data_source,7990971,7.99,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n236.json,shared_data_source,7717402,7.72,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/1. raw/0. profiles/profiles_publications_crossref_cleaned.csv,shared_data_source,7381201,7.38,B,raw source/cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n237.json,shared_data_source,7236191,7.24,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/primp/primp.abi3.so,pipeline_source,7206368,7.21,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@arcgis/core/interfaces.d.ts,app_source,7073572,7.07,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/mapbox-gl-csp.js.map,app_source,7058585,7.06,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n238.json,shared_data_source,7029413,7.03,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n389.json,shared_data_source,6614982,6.61,A,safe to commit if required
