path,source_root,size_bytes,size_mb,decision_class,decision_reason
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/lucide-react/dist/umd/lucide-react.min.js.map,app_source,4333254,4.33,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n114.json,shared_data_source,4271622,4.27,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n245.json,shared_data_source,4271526,4.27,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/pdfmake/build/pdfmake.min.js.map,app_source,4225171,4.23,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-darwin.so,app_source,4220048,4.22,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-darwin.so,pipeline_source,4220048,4.22,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/pydantic_core/_pydantic_core.cpython-313-darwin.so,pipeline_source,4220048,4.22,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n159.json,shared_data_source,4203308,4.2,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/torch/bin/protoc-3.13.0.0,app_source,4171104,4.17,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/torch/bin/protoc,app_source,4171104,4.17,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/torch/bin/protoc-3.13.0.0,pipeline_source,4171104,4.17,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/torch/bin/protoc,pipeline_source,4171104,4.17,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/torch/bin/protoc-3.13.0.0,pipeline_source,4171104,4.17,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/torch/bin/protoc,pipeline_source,4171104,4.17,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n204.json,shared_data_source,4066381,4.07,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n107.json,shared_data_source,3995785,4.0,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/pdfmake/build/pdfmake.js.map,app_source,3901449,3.9,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/mapbox-gl-unminified.js,app_source,3865913,3.87,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n221.json,shared_data_source,3790021,3.79,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/texture-compressor/bin/darwin/PVRTexToolCLI,app_source,3766704,3.77,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n115.json,shared_data_source,3721227,3.72,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n28.json,shared_data_source,3720511,3.72,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n126.json,shared_data_source,3720062,3.72,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/mapbox-gl-csp-worker.js.map,app_source,3699914,3.7,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/selenium/webdriver/common/windows/selenium-manager.exe,pipeline_source,3699200,3.7,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/selenium/webdriver/common/windows/selenium-manager.exe,pipeline_source,3699200,3.7,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/numpy/_core/_multiarray_umath.cpython-313-darwin.so,app_source,3677928,3.68,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/numpy/_core/_multiarray_umath.cpython-313-darwin.so,pipeline_source,3677928,3.68,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/numpy/_core/_multiarray_umath.cpython-313-darwin.so,pipeline_source,3677928,3.68,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n248.json,shared_data_source,3652643,3.65,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n181.json,shared_data_source,3651778,3.65,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/scipy/sparse/_sparsetools.cpython-313-darwin.so,app_source,3614784,3.61,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/scipy/sparse/_sparsetools.cpython-313-darwin.so,pipeline_source,3614784,3.61,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/scipy/sparse/_sparsetools.cpython-313-darwin.so,pipeline_source,3614784,3.61,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n207.json,shared_data_source,3583679,3.58,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/esm-min/mapbox-gl.js.map,app_source,3576346,3.58,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/mapbox-gl/dist/esm-min/shared.js.map,app_source,3563980,3.56,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n43.json,shared_data_source,3514637,3.51,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n380.json,shared_data_source,3514179,3.51,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@loaders.gl/draco/dist/draco-worker-node.js.map,app_source,3472180,3.47,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/mpnet/by_researcher/n224.json,shared_data_source,3448475,3.45,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@loaders.gl/draco/dist/draco-writer-worker-node.js.map,app_source,3447086,3.45,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n201.json,shared_data_source,3446019,3.45,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n255.json,shared_data_source,3444847,3.44,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/texture-compressor/bin/win32/PVRTexToolCLI.exe,app_source,3411864,3.41,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n164.json,shared_data_source,3376685,3.38,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n134.json,shared_data_source,3376483,3.38,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n192.json,shared_data_source,3376210,3.38,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n83.json,shared_data_source,3375247,3.38,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_crossref.csv,pipeline_source,3354747,3.35,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n136.json,shared_data_source,3307679,3.31,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/deck.gl/dist/dist.dev.js,app_source,3271847,3.27,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/.vite/deps/lucide-react.js.map,app_source,3265759,3.27,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n4.json,shared_data_source,3238055,3.24,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n124.json,shared_data_source,3238030,3.24,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n81.json,shared_data_source,3237691,3.24,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n13.json,shared_data_source,3237315,3.24,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_openalex_merged_updated.csv,pipeline_source,3185239,3.19,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_openalex_merged.csv,pipeline_source,3184971,3.18,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@maplibre/maplibre-gl-style-spec/docs/public/img/src/layer-background.png,app_source,3121389,3.12,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n392.json,shared_data_source,3099863,3.1,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/2c.all_listed_publications_2019_filter.csv,pipeline_source,3055610,3.06,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n177.json,shared_data_source,3032353,3.03,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n234.json,shared_data_source,3032060,3.03,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/PIL/.dylibs/libavif.16.3.0.dylib,app_source,2983120,2.98,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/PIL/.dylibs/libavif.16.3.0.dylib,pipeline_source,2983120,2.98,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n220.json,shared_data_source,2894462,2.89,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n230.json,shared_data_source,2894180,2.89,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n264.json,shared_data_source,2893975,2.89,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@maplibre/maplibre-gl-style-spec/docs/public/img/src/layer-hillshade.png,app_source,2893675,2.89,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n131.json,shared_data_source,2893564,2.89,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n151.json,shared_data_source,2893327,2.89,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/googleapiclient/discovery_cache/documents/aiplatform.v1beta1.json,pipeline_source,2890174,2.89,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_openalex.csv,pipeline_source,2876984,2.88,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/pdfmake/build/pdfmake.js,app_source,2847417,2.85,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n91.json,shared_data_source,2825593,2.83,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n381.json,shared_data_source,2825559,2.83,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n179.json,shared_data_source,2825370,2.83,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@arcgis/core/assets/esri/geometry/support/pe-wasm.wasm,app_source,2813855,2.81,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_discovery_combined.csv,pipeline_source,2801271,2.8,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/old/profiles_publications_scraping_queue.csv,pipeline_source,2798598,2.8,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n382.json,shared_data_source,2756169,2.76,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/.vite/deps/chunk-ZCRELIKY.js.map,app_source,2732694,2.73,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@arcgis/core/assets/esri/libs/lyr3d/lyr3DWorker.wasm,app_source,2719784,2.72,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n188.json,shared_data_source,2687946,2.69,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n85.json,shared_data_source,2687230,2.69,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/2c.all_listed_publications_2019_journal_like_doi.csv,pipeline_source,2665468,2.67,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n21.json,shared_data_source,2618728,2.62,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n171.json,shared_data_source,2618467,2.62,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n48.json,shared_data_source,2618307,2.62,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n64.json,shared_data_source,2617777,2.62,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n263.json,shared_data_source,2617576,2.62,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/_test/mpnet/test_mpnet_n236.json,shared_data_source,2588034,2.59,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/2e.all_listed_publications_2019_journal_like_no_abstract copy.csv,pipeline_source,2560339,2.56,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n195.json,shared_data_source,2550044,2.55,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n191.json,shared_data_source,2549922,2.55,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n101.json,shared_data_source,2549541,2.55,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n67.json,shared_data_source,2549531,2.55,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n174.json,shared_data_source,2549436,2.55,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n391.json,shared_data_source,2481026,2.48,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n141.json,shared_data_source,2480194,2.48,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/mpnet/by_researcher/n219.json,shared_data_source,2463583,2.46,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/googleapiclient/discovery_cache/documents/aiplatform.v1.json,pipeline_source,2435498,2.44,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n168.json,shared_data_source,2412134,2.41,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n138.json,shared_data_source,2412103,2.41,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n71.json,shared_data_source,2412028,2.41,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/1. data/1. raw/0. profiles/v3/2c.all_listed_publications_2019_journal_like.csv,pipeline_source,2383943,2.38,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n190.json,shared_data_source,2343566,2.34,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n123.json,shared_data_source,2342560,2.34,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n311.json,shared_data_source,2274696,2.27,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n106.json,shared_data_source,2274116,2.27,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n169.json,shared_data_source,2273737,2.27,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n5.json,shared_data_source,2273544,2.27,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/lucide-react/dynamic.d.ts,app_source,2262908,2.26,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/lucide-react/dynamicIconImports.d.ts,app_source,2261696,2.26,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/torch/include/ATen/RedispatchFunctions.h,app_source,2242876,2.24,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/torch/include/ATen/RedispatchFunctions.h,pipeline_source,2242876,2.24,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/torch/include/ATen/RedispatchFunctions.h,pipeline_source,2242876,2.24,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/3. final/7.researcher_similarity_matrix.csv,shared_data_source,2235432,2.24,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n11.json,shared_data_source,2205211,2.21,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n120.json,shared_data_source,2205124,2.21,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n58.json,shared_data_source,2205107,2.21,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/@esri/calcite-ui-icons/docs/icons.json,app_source,2181907,2.18,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/backend/.venv/lib/python3.13/site-packages/scipy/io/_fast_matrix_market/_fmm_core.cpython-313-darwin.so,app_source,2178656,2.18,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/0. scripts/temp_venv/lib/python3.13/site-packages/scipy/io/_fast_matrix_market/_fmm_core.cpython-313-darwin.so,pipeline_source,2178656,2.18,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/lucide-react/dist/lucide-react.d.ts,app_source,2173743,2.17,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/eslint-plugin-react-hooks/cjs/eslint-plugin-react-hooks.development.js,app_source,2143168,2.14,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-unified-app/frontend/node_modules/eslint-plugin-react-hooks/cjs/eslint-plugin-react-hooks.production.js,app_source,2138697,2.14,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/triss-pipeline-2026/.venv/lib/python3.13/site-packages/scipy/io/_fast_matrix_market/_fmm_core.cpython-313-darwin.so,pipeline_source,2138448,2.14,B,dependency cache; do not commit
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n217.json,shared_data_source,2136197,2.14,A,safe to commit if required
/Users/mikemcrae/Dropbox/Google Drive/Personal/2021/PhD/TRISS Project/1. data/2. intermediate/Embeddings/openai/by_researcher/n256.json,shared_data_source,2135501,2.14,A,safe to commit if required
